Employee Name,Department,Org,Country,Start Date,Tenure Range,Level distinction,Parsed Level Code,Parsed Seniority,Matched Seniority,Payband (granular),Tech Classification,Current Base Comp (USD),Current Equity Value,Target Base Comp (Geo-Adjusted),Target Equity Value (Geo-Adjusted),Geo Factor,Raw Payband Base Comp,Raw Payband Equity Value,Perf Score H1 25,Match Status
Employee 3,Product Engineering,R&D,United States,2019-05-20,5+ years,L6 Early,L6,Early,Early,Product - Engineering - Software Engineering - IC,Tech,309000.0,6810920.77,300000.0,589698.0,1.0,300000,589698,3.07,Matched
Employee 5,Data Engineering,R&D,United States,2020-01-27,5+ years,M5 Veteran,M5,Veteran,Veteran,Product - Engineering - Software Engineering - Mgmt,Tech,312433.33,4086479.65,303333.0,733860.0,1.0,303333,733860,3.23,Matched
Employee 8,Product Engineering,R&D,United States,2020-11-30,2-5 years,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,221450.0,754530.65,221222.0,354973.0,1.0,221222,354973,3.15,Matched
Employee 10,Data Platform Engineering,R&D,United States,2021-01-28,2-5 years,L5 Early,L5,Early,Early,Product - Engineering - Software Engineering - IC,Tech,255000.0,1127465.26,255000.0,445537.0,1.0,255000,445537,3.13,Matched
Employee 15,AI Products,R&D,Egypt,2021-08-01,2-5 years,L4 Veteran,L4,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,122499.99,344344.6,122500.0,200589.5,0.5,245000,401179,3.45,Matched
Employee 16,Core Data Ingestion,R&D,United States,2021-08-18,2-5 years,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,221222.0,622975.14,221222.0,354973.0,1.0,221222,354973,3.42,Matched
Employee 17,Data Product Engineering,R&D,United States,2021-08-23,2-5 years,L4 Veteran,L4,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,262173.11,1695181.7,245000.0,401179.0,1.0,245000,401179,3.52,Matched
Employee 32,Core Data Ingestion,R&D,Egypt,2022-02-07,2-5 years,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,105000.0,219796.35,105000.0,154384.0,0.5,210000,308768,3.2,Matched
Employee 40,Data Platform Engineering,R&D,United States,2022-04-11,2-5 years,L4 Veteran,L4,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,245000.0,646273.61,245000.0,401179.0,1.0,245000,401179,3.32,Matched
Employee 41,Product Engineering,R&D,United States,2022-05-03,2-5 years,M4 Veteran,M4,Veteran,Veteran,Product - Engineering - Software Engineering - Mgmt,Tech,315867.01,1730006.54,263333.0,589698.0,1.0,263333,589698,--,Matched
Employee 55,Data Platform Engineering,R&D,India,2022-06-13,2-5 years,L5 Early,L5,Early,Early,Product - Engineering - Software Engineering - IC,Tech,140199.01,390749.88,127500.0,222768.5,0.5,255000,445537,3.7,Matched
Employee 57,Data Platform Engineering,R&D,United States,2022-06-27,2-5 years,L5 Early,L5,Early,Early,Product - Engineering - Software Engineering - IC,Tech,255000.0,999445.94,255000.0,445537.0,1.0,255000,445537,3.23,Matched
Employee 59,Data Product Engineering,R&D,United States,2022-07-05,2-5 years,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,221222.0,611247.49,221222.0,354973.0,1.0,221222,354973,3.38,Matched
Employee 64,Data Platform Engineering,R&D,United States,2022-08-29,2-5 years,L3 Seasoned,L3,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,184418.41,419800.42,190000.0,221901.0,1.0,190000,221901,3.22,Matched
Employee 68,Infrastructure Engineering,R&D,United States,2022-09-19,2-5 years,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,210000.0,409065.02,210000.0,308768.0,1.0,210000,308768,3.11,Matched
Employee 81,Data Product Engineering,R&D,Egypt,2022-12-19,2-5 years,L3 Veteran,L3,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,100000.0,190633.59,100000.0,133129.5,0.5,200000,266259,3.58,Matched
Employee 83,Orion,R&D,United Kingdom,2023-01-03,2-5 years,L3 Seasoned,L3,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,197000.0,306385.03,182590.0,213246.861,0.961,190000,221901,3.3,Matched
Employee 85,Core Data Ingestion,R&D,United States,2023-01-03,2-5 years,L4 Veteran,L4,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,245000.0,494896.75,245000.0,401179.0,1.0,245000,401179,3.5,Matched
Employee 86,Forward Deployed Engineering,R&D,United States,2023-01-10,2-5 years,M4 Early,M4,Early,Early,Product - Engineering - Forward Deployed Engineering - Mgmt,Tech,336810.0,913738.93,294560.0,494822.0,1.0,294560,494822,3.19,Matched
Employee 87,Product Security,R&D,Netherlands,2023-01-17,2-5 years,L5 Seasoned,L5,Seasoned,Seasoned,Product - Security - Security Engineering - IC,Tech,226600.0,442926.26,217166.976,479443.24799999996,0.816,266136,587553,3.42,Matched
Employee 89,Orion,R&D,Egypt,2023-01-23,2-5 years,L3 Early,L3,Early,Early,Product - Engineering - Software Engineering - IC,Tech,90000.0,113460.19,90000.0,98772.0,0.5,180000,197544,3.2,Matched
Employee 91,Data Product Engineering,R&D,Egypt,2023-02-06,2-5 years,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,105000.0,232711.46,105000.0,154384.0,0.5,210000,308768,3.42,Matched
Employee 95,Core Data Ingestion,R&D,United States,2023-04-10,2-5 years,L5 Seasoned,L5,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,267650.0,758156.38,265000.0,493590.0,1.0,265000,493590,3.4,Matched
Employee 102,Product Engineering,R&D,India,2023-07-31,2-5 years,L3 Veteran,L3,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,115557.25,51028.11,100000.0,133129.5,0.5,200000,266259,3.52,Matched
Employee 110,Product Engineering,R&D,India,2023-10-09,1-2 years,L3 Veteran,L3,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,100000.0,140328.3,100000.0,133129.5,0.5,200000,266259,3.33,Matched
Employee 113,Security,R&D,United States,2023-10-16,1-2 years,M6 Early,M6,Early,Early,Product - Security - Security Engineering - Mgmt,Tech,328570.0,315616.86,321400.0,431351.0,1.0,321400,431351,3.05,Matched
Employee 118,Product Engineering,R&D,United States,2023-10-30,1-2 years,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,221450.0,399120.37,221222.0,354973.0,1.0,221222,354973,3.42,Matched
Employee 122,Product Engineering,R&D,United States,2023-12-04,1-2 years,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,221450.0,441860.94,221222.0,354973.0,1.0,221222,354973,3.13,Matched
Employee 137,Infrastructure Engineering,R&D,United States,2024-01-22,1-2 years,L4 Veteran,L4,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,230000.0,401179.43,245000.0,401179.0,1.0,245000,401179,3.1,Matched
Employee 144,Forward Deployed Engineering,R&D,United States,2024-03-25,1-2 years,L4 Veteran,L4,Veteran,Veteran,Product - Engineering - Forward Deployed Engineering - IC,Tech,274000.0,401179.43,281056.0,401179.0,1.0,281056,401179,3.3,Matched
Employee 146,Data Platform Engineering,R&D,United States,2024-04-15,1-2 years,L4 Early,L4,Early,Early,Product - Engineering - Software Engineering - IC,Tech,210000.0,308768.28,210000.0,308768.0,1.0,210000,308768,3.35,Matched
Employee 149,Solutions Engineering,Go-To-Market,Italy,2024-04-22,1-2 years,L4 Seasoned,L4,Seasoned,Seasoned,GTM - Solutions Engineering - Solutions Engineering - IC,Tech,139743.0,81310.17,153124.94999999998,81311.84999999999,0.85,180147,95661,3.4,Matched
Employee 150,Product Engineering,R&D,United States,2024-04-22,1-2 years,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,215000.0,354962.66,221222.0,354973.0,1.0,221222,354973,3.4,Matched
Employee 151,Core Data Ingestion,R&D,United States,2024-04-29,1-2 years,M4 Veteran,M4,Veteran,Veteran,Product - Engineering - Software Engineering - Mgmt,Tech,263333.0,589694.59,263333.0,589698.0,1.0,263333,589698,3.5,Matched
Employee 157,Data Product Engineering,R&D,United States,2024-06-03,1-2 years,M4 Seasoned,M4,Seasoned,Seasoned,Product - Engineering - Software Engineering - Mgmt,Tech,250000.0,541642.58,250000.0,541644.0,1.0,250000,541644,3.28,Matched
Employee 158,Product Engineering,R&D,Canada,2024-06-05,1-2 years,M4 Early,M4,Early,Early,Product - Engineering - Software Engineering - Mgmt,Tech,240304.0,494821.53,240000.0,494822.0,1.0,240000,494822,3.06,Matched
Employee 159,Data Platform Engineering,R&D,United States,2024-06-10,1-2 years,M4 Seasoned,M4,Seasoned,Seasoned,Product - Engineering - Software Engineering - Mgmt,Tech,250000.0,541642.58,250000.0,541644.0,1.0,250000,541644,3.35,Matched
Employee 160,Linkability,R&D,United States,2024-06-24,1-2 years,L5 Early,L5,Early,Early,Product - Engineering - Software Engineering - IC,Tech,241667.0,445538.57,255000.0,445537.0,1.0,255000,445537,3.13,Matched
Employee 178,Core Data Ingestion,R&D,India,2024-09-16,6-12 months,L3 Veteran,L3,Veteran,Veteran,Product - Engineering - Software Engineering - IC,Tech,103989.0,0.0,100000.0,133129.5,0.5,200000,266259,3.1,Matched
Employee 185,Infrastructure Engineering,R&D,United States,2024-09-30,6-12 months,L4 Seasoned,L4,Seasoned,Seasoned,Product - Engineering - Software Engineering - IC,Tech,230000.0,191507.07,221222.0,354973.0,1.0,221222,354973,--,Matched
