Role Name,Date,Candidate Name + GH URL,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-06,Candidate 1,No,United States,Tech,1.0,Current Comp,L4 (Senior),140000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-01-06,Candidate 2,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),225000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
Lead Solutions Architect,2025-01-07,Candidate 3,Yes,United States,Tech,1.0,Expected,L5 (Staff),275000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-08,Candidate 4,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-08,Candidate 5,No,United States,Tech,1.0,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-01-08,Candidate 6,Yes,United States,Tech,1.0,Current Comp,M4 (Manager),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,143154.0
Lead Solutions Architect,2025-01-09,Candidate 7,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Forward Deployed Engineer - US National Security,2025-01-20,Candidate 8,Yes,United States,Tech,1.0,Expected,L3 (Mid),110000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.32
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 9,No,United States,Tech,1.0,Expected,L4 (Senior),DNP,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 10,Yes,United States,Tech,1.0,Expected,L3 (Mid),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.32
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-10,Candidate 11,Yes,United States,Tech,1.0,Expected,L4 (Senior),280000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-14,Candidate 12,,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-15,Candidate 13,Yes,Brazil,Tech,0.597,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Senior Data Scientist, Analytics | Advanced Analytics",2025-01-15,Candidate 14,No,United States,Tech,1.0,Current Comp,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0
Lead Solutions Architect,2025-01-17,Candidate 15,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),205000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Lead Solutions Architect,2025-01-17,Candidate 16,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),250000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 17,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),37000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 18,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 19,No,Brazil,Tech,0.597,Current Comp,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 20,No,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 21,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),78000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 22,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),108000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 23,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),96000,Product - Engineering - Software Engineering - IC,L4,132069.53
Lead Solutions Architect,2025-01-21,Candidate 24,Yes,United States,Non-tech,1.0,Expected,L5 (Staff),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0
,2025-01-21,Candidate 25,Yes,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0
Forward Deployed Engineer - US National Security,2025-01-21,Candidate 26,Yes,United States,Tech,1.0,Expected,L5 (Staff),270000,Product - Engineering - Forward Deployed Engineering - IC,L4,312237.12
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 27,Yes,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-21,Candidate 28,No,United States,Tech,1.0,Expected,L5 (Staff),DND,Product - Engineering - Software Engineering - IC,L5,265000.0
"Senior Software Engineer, Frontend | Product Engineering",2025-01-22,Candidate 29,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-22,Candidate 30,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
