Role Name,Date,Candidate Name + GH URL,Candidate Number,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash,Compensation Difference,TRM Level Cash
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-06,Candidate 1,1,No,United States,Tech,1.0,Current Comp,L4 (Senior),140000,Product - Engineering - Software Engineering - IC,L4,221222.0,81222.0,221222.0
Lead Solutions Architect,2025-01-06,Candidate 2,2,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),225000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-22462.0,202538.0
Lead Solutions Architect,2025-01-07,Candidate 3,3,Yes,United States,Tech,1.0,Expected,L5 (Staff),275000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-72462.0,202538.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-08,Candidate 4,4,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),110000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,22069.53,132069.53399999999
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-08,Candidate 5,5,No,United States,Tech,1.0,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,221222.0,101222.0,221222.0
Lead Solutions Architect,2025-01-08,Candidate 6,6,Yes,United States,Tech,1.0,Current Comp,M4 (Manager),230000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,143154.0,-86846.0,202538.0
Lead Solutions Architect,2025-01-09,Candidate 7,7,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-39853.0,202538.0
Forward Deployed Engineer - US National Security,2025-01-20,Candidate 8,8,Yes,United States,Tech,1.0,Expected,L3 (Mid),110000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.0,119984.32,265466.0
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 9,9,No,United States,Tech,1.0,Expected,L4 (Senior),DNP,Product - Engineering - Forward Deployed Engineering - IC,L4,265466.0,,265466.0
Forward Deployed Engineer - US National Security,2025-01-10,Candidate 10,10,Yes,United States,Tech,1.0,Expected,L3 (Mid),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.0,29984.320000000007,265466.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-10,Candidate 11,11,Yes,United States,Tech,1.0,Expected,L4 (Senior),280000,Product - Engineering - Software Engineering - IC,L4,221222.0,-58778.0,221222.0
"Senior Data Scientist, Analytics | Advanced Analytics",2025-01-15,Candidate 14,14,No,United States,Tech,1.0,Current Comp,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0,41222.0,221222.0
Lead Solutions Architect,2025-01-17,Candidate 15,15,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),205000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,-24853.0,202538.0
Lead Solutions Architect,2025-01-17,Candidate 16,16,Yes,United States,Non-tech,1.0,Current Comp,L5 (Staff),250000,GTM - Solutions Engineering - Solutions Engineering - IC,L5,202538.0,-47462.0,202538.0
"Senior Software Engineer, Core Data Ingestion (LATAM)",2025-01-20,Candidate 17,17,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),37000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,95069.53,132069.53399999999
"Senior or Staff Software Engineer, Data Platform (LATAM)",2025-01-20,Candidate 18,18,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L4,132069.53399999999,12069.529999999999,132069.53399999999
