Employee Name,Month,Year,Month_Number,Start Date,Tenure_Days,Tenure_Range,Department,Org,Manager,Level distinction,Country
Employee 3,May 2019,2019,5,2019-05-20,11,1-30 days,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,June 2019,2019,6,2019-05-20,41,1-3 months,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,July 2019,2019,7,2019-05-20,72,1-3 months,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,August 2019,2019,8,2019-05-20,103,3-6 months,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,September 2019,2019,9,2019-05-20,133,3-6 months,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,October 2019,2019,10,2019-05-20,164,3-6 months,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,November 2019,2019,11,2019-05-20,194,6 months-1 year,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,December 2019,2019,12,2019-05-20,225,6 months-1 year,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 3,January 2020,2020,1,2019-05-20,256,6 months-1 year,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,January 2020,2020,1,2020-01-27,4,1-30 days,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,February 2020,2020,2,2019-05-20,285,6 months-1 year,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,February 2020,2020,2,2020-01-27,33,1-3 months,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,March 2020,2020,3,2019-05-20,316,6 months-1 year,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,March 2020,2020,3,2020-01-27,64,1-3 months,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,April 2020,2020,4,2019-05-20,346,6 months-1 year,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,April 2020,2020,4,2020-01-27,94,3-6 months,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,May 2020,2020,5,2019-05-20,377,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,May 2020,2020,5,2020-01-27,125,3-6 months,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,June 2020,2020,6,2019-05-20,407,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,June 2020,2020,6,2020-01-27,155,3-6 months,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,July 2020,2020,7,2019-05-20,438,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,July 2020,2020,7,2020-01-27,186,6 months-1 year,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,August 2020,2020,8,2019-05-20,469,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,August 2020,2020,8,2020-01-27,217,6 months-1 year,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,September 2020,2020,9,2019-05-20,499,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,September 2020,2020,9,2020-01-27,247,6 months-1 year,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,October 2020,2020,10,2019-05-20,530,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,October 2020,2020,10,2020-01-27,278,6 months-1 year,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 3,November 2020,2020,11,2019-05-20,560,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,November 2020,2020,11,2020-01-27,308,6 months-1 year,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,November 2020,2020,11,2020-11-30,0,1-30 days,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 3,December 2020,2020,12,2019-05-20,591,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,December 2020,2020,12,2020-01-27,339,6 months-1 year,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,December 2020,2020,12,2020-11-30,31,1-3 months,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,January 2021,2021,1,2021-01-28,3,1-30 days,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 3,January 2021,2021,1,2019-05-20,622,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,January 2021,2021,1,2020-01-27,370,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,January 2021,2021,1,2020-11-30,62,1-3 months,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,February 2021,2021,2,2021-01-28,31,1-3 months,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 3,February 2021,2021,2,2019-05-20,650,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,February 2021,2021,2,2020-01-27,398,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,February 2021,2021,2,2020-11-30,90,1-3 months,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,March 2021,2021,3,2021-01-28,62,1-3 months,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 3,March 2021,2021,3,2019-05-20,681,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,March 2021,2021,3,2020-01-27,429,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,March 2021,2021,3,2020-11-30,121,3-6 months,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,April 2021,2021,4,2021-01-28,92,3-6 months,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1236,April 2021,2021,4,2021-04-29,1,1-30 days,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 3,April 2021,2021,4,2019-05-20,711,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,April 2021,2021,4,2020-01-27,459,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,April 2021,2021,4,2020-11-30,151,3-6 months,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,May 2021,2021,5,2021-01-28,123,3-6 months,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1236,May 2021,2021,5,2021-04-29,32,1-3 months,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 3,May 2021,2021,5,2019-05-20,742,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,May 2021,2021,5,2020-01-27,490,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,May 2021,2021,5,2020-11-30,182,6 months-1 year,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,June 2021,2021,6,2021-01-28,153,3-6 months,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1236,June 2021,2021,6,2021-04-29,62,1-3 months,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 3,June 2021,2021,6,2019-05-20,772,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,June 2021,2021,6,2020-01-27,520,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,June 2021,2021,6,2020-11-30,212,6 months-1 year,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,July 2021,2021,7,2021-01-28,184,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1236,July 2021,2021,7,2021-04-29,93,3-6 months,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 3,July 2021,2021,7,2019-05-20,803,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,July 2021,2021,7,2020-01-27,551,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,July 2021,2021,7,2020-11-30,243,6 months-1 year,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,August 2021,2021,8,2021-01-28,215,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1236,August 2021,2021,8,2021-04-29,124,3-6 months,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1251,August 2021,2021,8,2021-08-02,29,1-30 days,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,August 2021,2021,8,2021-08-01,30,1-30 days,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,August 2021,2021,8,2021-08-18,13,1-30 days,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,August 2021,2021,8,2021-08-23,8,1-30 days,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,August 2021,2021,8,2019-05-20,834,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,August 2021,2021,8,2020-01-27,582,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,August 2021,2021,8,2020-11-30,274,6 months-1 year,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,September 2021,2021,9,2021-01-28,245,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1236,September 2021,2021,9,2021-04-29,154,3-6 months,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1251,September 2021,2021,9,2021-08-02,59,1-3 months,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,September 2021,2021,9,2021-08-01,60,1-3 months,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,September 2021,2021,9,2021-08-18,43,1-3 months,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,September 2021,2021,9,2021-08-23,38,1-3 months,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,September 2021,2021,9,2019-05-20,864,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,September 2021,2021,9,2020-01-27,612,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,September 2021,2021,9,2020-11-30,304,6 months-1 year,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,October 2021,2021,10,2021-01-28,276,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,October 2021,2021,10,2021-10-18,13,1-30 days,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1236,October 2021,2021,10,2021-04-29,185,6 months-1 year,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1251,October 2021,2021,10,2021-08-02,90,1-3 months,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,October 2021,2021,10,2021-08-01,91,3-6 months,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,October 2021,2021,10,2021-08-18,74,1-3 months,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,October 2021,2021,10,2021-08-23,69,1-3 months,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,October 2021,2021,10,2019-05-20,895,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,October 2021,2021,10,2020-01-27,643,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,October 2021,2021,10,2020-11-30,335,6 months-1 year,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,November 2021,2021,11,2021-01-28,306,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,November 2021,2021,11,2021-10-18,43,1-3 months,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1236,November 2021,2021,11,2021-04-29,215,6 months-1 year,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1251,November 2021,2021,11,2021-08-02,120,3-6 months,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,November 2021,2021,11,2021-08-01,121,3-6 months,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,November 2021,2021,11,2021-08-18,104,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,November 2021,2021,11,2021-08-23,99,3-6 months,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,November 2021,2021,11,2019-05-20,925,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,November 2021,2021,11,2020-01-27,673,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,November 2021,2021,11,2020-11-30,365,6 months-1 year,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,December 2021,2021,12,2021-01-28,337,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,December 2021,2021,12,2021-10-18,74,1-3 months,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1236,December 2021,2021,12,2021-04-29,246,6 months-1 year,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,December 2021,2021,12,2021-12-22,9,1-30 days,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,December 2021,2021,12,2021-08-02,151,3-6 months,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,December 2021,2021,12,2021-08-01,152,3-6 months,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,December 2021,2021,12,2021-08-18,135,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,December 2021,2021,12,2021-08-23,130,3-6 months,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,December 2021,2021,12,2019-05-20,956,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,December 2021,2021,12,2020-01-27,704,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,December 2021,2021,12,2020-11-30,396,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,January 2022,2022,1,2021-01-28,368,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,January 2022,2022,1,2021-10-18,105,3-6 months,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1236,January 2022,2022,1,2021-04-29,277,6 months-1 year,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,January 2022,2022,1,2021-12-22,40,1-3 months,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,January 2022,2022,1,2021-08-02,182,6 months-1 year,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,January 2022,2022,1,2021-08-01,183,6 months-1 year,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,January 2022,2022,1,2021-08-18,166,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,January 2022,2022,1,2021-08-23,161,3-6 months,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,January 2022,2022,1,2019-05-20,987,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 5,January 2022,2022,1,2020-01-27,735,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 8,January 2022,2022,1,2020-11-30,427,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 10,February 2022,2022,2,2021-01-28,396,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1143,February 2022,2022,2,2021-10-18,133,3-6 months,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1189,February 2022,2022,2,2022-02-07,21,1-30 days,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,February 2022,2022,2,2022-02-14,14,1-30 days,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1236,February 2022,2022,2,2021-04-29,305,6 months-1 year,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,February 2022,2022,2,2021-12-22,68,1-3 months,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,February 2022,2022,2,2021-08-02,210,6 months-1 year,Finance,Operations,Employe 2251,M6 Early,United States
Employee 15,February 2022,2022,2,2021-08-01,211,6 months-1 year,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,February 2022,2022,2,2021-08-18,194,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,February 2022,2022,2,2021-08-23,189,6 months-1 year,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
