Role Name,Date,Candidate Name + GH URL,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash,Candidate Number
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-14,Candidate 12,,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53,12
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-15,Candidate 13,Yes,Brazil,Tech,0.597,,,,Product - Engineering - Software Engineering - IC,L4,0.0,13
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-01-23,Candidate 35,No,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,35
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-14,Candidate 49,,Brazil,Tech,0.597,Expected,L4 (Senior),72000,Product - Engineering - Software Engineering - IC,L4,132069.53,49
Lead Solutions Architect,2025-02-07,Candidate 96,No,United States,Non-tech,1.0,Current Comp,L4 (Senior),,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,96
"Software Engineer, Backend | Product Engineering (LATAM)",2025-02-11,Candidate 97,No,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,97
"Senior or Staff Software Engineer, Blockchain Infrastructure | Core Data Ingestion",2025-02-28,Candidate 123,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,123
"Software Engineer, Infrastructure",2025-03-04,Candidate 126,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,126
AI Engineer,2025-03-10,Candidate 129,,India,Tech,0.5,Expected,L4 (Senior),150000,Product - Engineering - Machine Learning Engineering - IC,L4,115975.35,129
"Software Engineer, Infrastructure",2025-03-25,Candidate 150,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,150
"Data Science Manager, Attribution",2025-04-14,Candidate 162,Yes,United States,Tech,1.0,Expected,M4 Veteran (Sr. Manager),,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7,162
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-12,Candidate 163,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0,163
"Software Engineer, Data Product (US)",2025-04-11,Candidate 164,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L3,0.0,164
"Software Engineer, Data Product (US)",2025-03-29,Candidate 165,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L3,0.0,165
"Senior Software Engineer, Data Product (LATAM)",2025-03-17,Candidate 166,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,166
"Senior Software Engineer, Data Product (LATAM)",2025-04-15,Candidate 169,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,169
"Senior Software Engineer, Data Product (LATAM)",2025-03-28,Candidate 174,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,174
"Data Science Manager, Attribution",2025-04-14,Candidate 175,Yes,United States,Tech,1.0,Expected,M4 (Manager),,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7,175
"Software Engineer, Data Product (US)",2025-04-04,Candidate 181,No,United States,Tech,1.0,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L3,190000.0,181
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-09,Candidate 187,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0,187
"Data Science Manager, Attribution",2025-04-09,Candidate 189,Yes,United States,Tech,1.0,Expected,L5 (Staff),,Product - Engineering - Machine Learning Engineering - IC,M4,257600.7,189
"Senior or Staff Software Engineer, SIGINT",2025-04-18,Candidate 190,No,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,190
Senior MLOps Engineer,2025-04-17,Candidate 205,No,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,205
"Senior Software Engineer, Data Product (LATAM)",2025-04-10,Candidate 208,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,208
"Senior Software Engineer, Data Product (LATAM)",2025-03-18,Candidate 209,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,209
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-04-03,Candidate 210,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L5,0.0,210
"Senior Software Engineer, Data Product (LATAM)",2025-04-15,Candidate 211,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,211
"Senior Software Engineer, Data Platform (US / US PERM)",2025-03-28,Candidate 219,,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,219
Senior MLOps Engineer,2025-03-24,Candidate 227,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,132069.53,227
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-20,Candidate 229,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0,229
"Senior Software Engineer, Data Product (LATAM)",2025-04-23,Candidate 231,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,231
Lead Solutions Architect,2025-03-06,Candidate 233,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0,233
"Software Engineer, Full Stack | Product Engineering (United States)",2025-04-29,Candidate 235,No,United States,Tech,1.0,,L3 (Mid),,Product - Engineering - Software Engineering - IC,,190000.0,235
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-03,Candidate 236,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,236
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-03,Candidate 240,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0,240
Head of Product Engineering,2025-05-02,Candidate 242,Yes,United States,Tech,1.0,Expected,M5 (Director),,Product - Engineering - Software Engineering - Mgmt,M5,290000.0,242
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-05,Candidate 247,No,Brazil,Tech,0.597,,L3 (Mid),,Product - Engineering - Software Engineering - IC,,113430.0,247
"Staff Software Engineer, Data Product (US / US PERM)",2025-04-16,Candidate 249,No,Brazil,Tech,0.597,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,158205.0,249
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-05-05,Candidate 251,No,Brazil,Tech,0.597,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L3,113430.0,251
Head of Product Engineering,2025-05-06,Candidate 253,Yes,United States,Tech,1.0,,M5 (Director),,Product - Engineering - Software Engineering - Mgmt,M5,290000.0,253
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-14,Candidate 255,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0,255
"Senior Software Engineer, Data Product (LATAM)",2025-02-10,Candidate 256,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,256
