comp_id,role_category,level_id,level_code,seniority_id,seniority_name,cash_base,equity_value,equity_units,annual_total
1,Product - Engineering - Software Engineering - IC,1,L1,1,Early,120000,96222,4299,144056
2,Product - Engineering - Software Engineering - IC,1,L1,2,Seasoned,130000,111008,4960,157752
3,Product - Engineering - Software Engineering - IC,1,L1,3,Veteran,140000,125793,5621,171448
4,Product - Engineering - Software Engineering - IC,2,L2,1,Early,150000,140579,6281,185145
5,Product - Engineering - Software Engineering - IC,2,L2,2,Seasoned,160000,155365,6942,198841
6,Product - Engineering - Software Engineering - IC,2,L2,3,Veteran,170000,177544,7933,214386
7,Product - Engineering - Software Engineering - IC,3,L3,1,Early,180000,197544,8826,229386
8,Product - Engineering - Software Engineering - IC,3,L3,2,Seasoned,190000,221901,9915,245475
9,Product - Engineering - Software Engineering - IC,3,L3,3,Veteran,200000,266259,11897,266565
10,Product - Engineering - Software Engineering - IC,4,L4,1,Early,210000,308768,13796,287192
11,Product - Engineering - Software Engineering - IC,4,L4,2,Seasoned,221222,354973,15860,309965
12,Product - Engineering - Software Engineering - IC,4,L4,3,Veteran,245000,401179,17925,345295
13,Product - Engineering - Software Engineering - IC,5,L5,1,Early,255000,445537,19907,366384
14,Product - Engineering - Software Engineering - IC,5,L5,2,Seasoned,265000,493590,22054,388398
15,Product - Engineering - Software Engineering - IC,5,L5,3,Veteran,285000,541644,24201,420411
16,Product - Engineering - Software Engineering - IC,6,L6,1,Early,300000,589698,26348,447425
17,Product - Engineering - Software Engineering - IC,6,L6,2,Seasoned,320000,637752,28495,479438
18,Product - Engineering - Software Engineering - IC,6,L6,3,Veteran,340000,685806,30642,511452
19,Product - Engineering - Software Engineering - Mgmt,3,M3,1,Early,210000,354357,15833,298589
20,Product - Engineering - Software Engineering - Mgmt,3,M3,2,Seasoned,220000,401179,17925,320295
21,Product - Engineering - Software Engineering - Mgmt,3,M3,3,Veteran,230000,448001,20017,342000
22,Product - Engineering - Software Engineering - Mgmt,4,M4,1,Early,240000,494822,22109,363706
23,Product - Engineering - Software Engineering - Mgmt,4,M4,2,Seasoned,250000,541644,24201,385411
24,Product - Engineering - Software Engineering - Mgmt,4,M4,3,Veteran,263333,589698,26348,410758
25,Product - Engineering - Software Engineering - Mgmt,5,M5,1,Early,276667,637752,28495,436105
26,Product - Engineering - Software Engineering - Mgmt,5,M5,2,Seasoned,290000,685806,30642,461452
27,Product - Engineering - Software Engineering - Mgmt,5,M5,3,Veteran,303333,733860,32789,486798
28,Product - Engineering - Software Engineering - Mgmt,6,M6,1,Early,316667,3895269,174044,1290484
29,Product - Engineering - Software Engineering - Mgmt,6,M6,2,Seasoned,330000,5500000,245744,1705000
30,Product - Engineering - Software Engineering - Mgmt,6,M6,3,Veteran,343333,7104731,317445,2119516
31,Product - Engineering - Forward Deployed Engineering - Mgmt,3,M3,1,Early,262400,354357,15833,350989
32,Product - Engineering - Forward Deployed Engineering - Mgmt,3,M3,2,Seasoned,273120,401179,17925,373415
33,Product - Engineering - Forward Deployed Engineering - Mgmt,3,M3,3,Veteran,283840,448001,20017,395840
34,Product - Engineering - Forward Deployed Engineering - Mgmt,4,M4,1,Early,294560,494822,22109,418266
35,Product - Engineering - Forward Deployed Engineering - Mgmt,4,M4,2,Seasoned,305280,541644,24201,440691
36,Product - Engineering - Forward Deployed Engineering - Mgmt,4,M4,3,Veteran,321360,589698,26348,468785
37,Product - Engineering - Forward Deployed Engineering - Mgmt,5,M5,1,Early,337440,630000,28149,494940
38,Product - Engineering - Forward Deployed Engineering - Mgmt,5,M5,2,Seasoned,353520,693860,31002,526985
39,Product - Engineering - Forward Deployed Engineering - Mgmt,5,M5,3,Veteran,369600,886119,39592,591130
40,Product - Engineering - Forward Deployed Engineering - Mgmt,6,M6,1,Early,385680,1078377,48183,655274
41,Product - Engineering - Forward Deployed Engineering - Mgmt,6,M6,2,Seasoned,401760,1270636,56773,719419
42,Product - Engineering - Forward Deployed Engineering - Mgmt,6,M6,3,Veteran,417840,1462894,65363,783564
43,Product - Security - Security Engineering - IC,1,L1,1,Early,154151,70278,3140,171720
44,Product - Security - Security Engineering - IC,1,L1,2,Seasoned,161567,111008,4960,189319
45,Product - Security - Security Engineering - IC,1,L1,3,Veteran,168983,151738,6780,206918
46,Product - Security - Security Engineering - IC,2,L2,1,Early,176399,192469,8600,224517
47,Product - Security - Security Engineering - IC,2,L2,2,Seasoned,183816,233199,10420,242115
48,Product - Security - Security Engineering - IC,2,L2,3,Veteran,191232,249491,11147,253605
49,Product - Security - Security Engineering - IC,3,L3,1,Early,196701,241345,10783,257038
50,Product - Security - Security Engineering - IC,3,L3,2,Seasoned,206064,282076,12603,276583
51,Product - Security - Security Engineering - IC,3,L3,3,Veteran,215427,322806,14423,296129
52,Product - Security - Security Engineering - IC,4,L4,1,Early,223492,343171,15333,309285
53,Product - Security - Security Engineering - IC,4,L4,2,Seasoned,234153,404267,18063,335220
54,Product - Security - Security Engineering - IC,4,L4,3,Veteran,244814,465362,20793,361155
55,Product - Security - Security Engineering - IC,5,L5,1,Early,255475,546823,24432,392181
56,Product - Security - Security Engineering - IC,5,L5,2,Seasoned,266136,587553,26252,413024
57,Product - Security - Security Engineering - IC,5,L5,3,Veteran,276796,628284,28072,433867
58,Product - Security - Security Engineering - IC,6,L6,1,Early,287457,669014,29892,454711
59,Product - Security - Security Engineering - IC,6,L6,2,Seasoned,298118,709745,31712,475554
